k index, k1, k2, k3, kmag/2pi, tm band 1, tm band 2, tm band 3, tm band 4, tm band 5, tm band 6, tm band 7, tm band 8
1, 0, 0, 0, 0, 0, 0.546027, 0.552094, 0.552096, 0.812093, 0.854314, 0.951107, 1.08259
2, 0.1, 0, 0, 0.1, 0.0643671, 0.518896, 0.552617, 0.579095, 0.812721, 0.852958, 0.941428, 1.04995
3, 0.2, 0, 0, 0.2, 0.126061, 0.48795, 0.553991, 0.610359, 0.812384, 0.849484, 0.912816, 1.02959
4, 0.3, 0, 0, 0.3, 0.181523, 0.45665, 0.555709, 0.644685, 0.802314, 0.845326, 0.880698, 1.025
5, 0.4, 0, 0, 0.4, 0.224302, 0.429317, 0.557116, 0.682524, 0.772176, 0.842059, 0.865404, 1.0269
6, 0.5, 0, 0, 0.5, 0.241821, 0.417114, 0.557658, 0.713395, 0.741311, 0.84083, 0.862516, 1.02856
7, 0.5, 0.1, 0, 0.509902, 0.245235, 0.4236, 0.551085, 0.711571, 0.749855, 0.841982, 0.862609, 1.01714
8, 0.5, 0.2, 0, 0.538516, 0.25442, 0.441321, 0.535034, 0.706018, 0.772267, 0.845818, 0.862861, 0.989395
9, 0.5, 0.3, 0, 0.583095, 0.266397, 0.465222, 0.516482, 0.697068, 0.802974, 0.853388, 0.863228, 0.954203
10, 0.5, 0.4, 0, 0.640312, 0.276774, 0.48701, 0.501823, 0.687264, 0.837704, 0.86397, 0.865932, 0.916273
11, 0.5, 0.5, 0, 0.707107, 0.280948, 0.496196, 0.496197, 0.682617, 0.859474, 0.878316, 0.878316, 0.879351
12, 0.4, 0.4, 0, 0.565685, 0.27141, 0.485365, 0.501693, 0.689111, 0.830636, 0.844978, 0.893706, 0.898991
13, 0.3, 0.3, 0, 0.424264, 0.236529, 0.473888, 0.515941, 0.679199, 0.819377, 0.829518, 0.897603, 0.933446
14, 0.2, 0.2, 0, 0.282843, 0.172884, 0.482973, 0.533242, 0.640233, 0.819202, 0.838111, 0.910409, 0.976551
15, 0.1, 0.1, 0, 0.141421, 0.0904174, 0.510404, 0.546943, 0.593803, 0.81373, 0.851132, 0.935551, 1.02882
16, 0, 0, 0, 0, 0, 0.546027, 0.552094, 0.552096, 0.812093, 0.854314, 0.951107, 1.08259
